,author_pair,co-paper_id,co-times,authors_paper_num,co-occurrence_val
0,"('et al.', 'Song Y')",[8],1,"(4, 2)",0.125
1,"('et al.', 'Hu Y')",[8],1,"(4, 1)",0.25
2,"('et al.', 'Zhang L')",[8],1,"(4, 2)",0.125
3,"('et al.', 'He X')",[],0,"(4, 2)",0.0
4,"('et al.', 'Semenov DV')",[],0,"(4, 1)",0.0
5,"('et al.', 'Mei P')",[],0,"(4, 1)",0.0
6,"('et al.', 'Tunariu N')",[6],1,"(4, 1)",0.25
7,"('et al.', 'Moroni I')",[],0,"(4, 1)",0.0
8,"('et al.', 'Sukeepaisarnjaroen W')",[12],1,"(4, 1)",0.25
9,"('et al.', 'Binotto G')",[9],1,"(4, 1)",0.25
10,"('et al.', 'Wang C')",[],0,"(4, 1)",0.0
11,"('et al.', 'Decio A')",[],0,"(4, 1)",0.0
12,"('et al.', 'Li X')",[],0,"(4, 1)",0.0
13,"('et al.', 'Dufour JF')",[12],1,"(4, 1)",0.25
14,"('et al.', 'Wu YL')",[8],1,"(4, 1)",0.25
15,"('et al.', 'Wang H')",[],0,"(4, 1)",0.0
16,"('et al.', 'Savelyev EI')",[],0,"(4, 1)",0.0
17,"('et al.', 'Wu Q')",[],0,"(4, 1)",0.0
18,"('et al.', 'Wang K')",[8],1,"(4, 1)",0.25
19,"('et al.', 'Wang L')",[],0,"(4, 1)",0.0
20,"('et al.', 'Li S')",[],0,"(4, 1)",0.0
21,"('et al.', 'Deltas C')",[],0,"(4, 1)",0.0
22,"('et al.', 'Zhang X.')",[],0,"(4, 1)",0.0
23,"('et al.', 'Rescigno P')",[6],1,"(4, 1)",0.25
24,"('et al.', 'De Castro O')",[],0,"(4, 1)",0.0
25,"('et al.', 'Wang Z')",[8],1,"(4, 1)",0.25
26,"('et al.', 'Izarzugaza JMG.')",[],0,"(4, 1)",0.0
27,"('et al.', 'Huang G.')",[],0,"(4, 1)",0.0
28,"('et al.', 'Moloney D')",[6],1,"(4, 1)",0.25
29,"('et al.', 'Gil V')",[6],1,"(4, 1)",0.25
30,"('et al.', 'Gane EJ')",[12],1,"(4, 1)",0.25
31,"('et al.', 'Ars E')",[],0,"(4, 1)",0.0
32,"('et al.', 'Tiribelli M')",[9],1,"(4, 1)",0.25
33,"('et al.', 'Sabattini E')",[9],1,"(4, 1)",0.25
34,"('et al.', 'Wang J')",[],0,"(4, 1)",0.0
35,"('et al.', 'Cheng J.')",[],0,"(4, 1)",0.0
36,"('et al.', 'Benevolo G')",[9],1,"(4, 1)",0.25
37,"('et al.', 'Kim Y')",[],0,"(4, 1)",0.0
38,"('et al.', 'Gu R')",[],0,"(4, 1)",0.0
39,"('et al.', 'Huang L')",[],0,"(4, 1)",0.0
40,"('et al.', 'Ariani F')",[],0,"(4, 1)",0.0
41,"('et al.', 'Bruttini M')",[],0,"(4, 1)",0.0
42,"('et al.', 'Garcia-Cazorla A')",[],0,"(4, 1)",0.0
43,"('et al.', 'Wu H')",[],0,"(4, 1)",0.0
44,"('et al.', 'Li J')",[],0,"(4, 1)",0.0
45,"('et al.', 'Sidorov SV')",[],0,"(4, 1)",0.0
46,"('et al.', 'Li H')",[],0,"(4, 1)",0.0
47,"('et al.', 'Martino B')",[9],1,"(4, 1)",0.25
48,"('et al.', 'Chen G')",[],0,"(4, 1)",0.0
49,"('et al.', 'Richter VA')",[],0,"(4, 1)",0.0
50,"('et al.', 'Zheng J')",[],0,"(4, 1)",0.0
51,"('et al.', 'Ding J')",[],0,"(4, 1)",0.0
52,"('et al.', 'Palandri F')",[9],1,"(4, 1)",0.25
53,"('et al.', 'Weiss KH')",[12],1,"(4, 1)",0.25
54,"('et al.', 'Yen CJ')",[12],1,"(4, 1)",0.25
55,"('et al.', 'Ma D')",[],0,"(4, 1)",0.0
56,"('et al.', 'Cheng Y')",[8],1,"(4, 1)",0.25
57,"('et al.', 'Miao C')",[],0,"(4, 1)",0.0
58,"('et al.', 'Gao H')",[8],1,"(4, 1)",0.25
59,"('et al.', 'Teufel M')",[12],1,"(4, 1)",0.25
60,"('et al.', 'Dolling DI')",[6],1,"(4, 1)",0.25
61,"('et al.', 'Tonduti D')",[],0,"(4, 1)",0.0
62,"('et al.', 'Nushtaeva AA')",[],0,"(4, 1)",0.0
63,"('et al.', 'Yau M')",[],0,"(4, 1)",0.0
64,"('et al.', 'Catani L')",[9],1,"(4, 1)",0.25
65,"('et al.', 'Zafeiriou Z')",[6],1,"(4, 1)",0.25
66,"('et al.', 'Ma X')",[],0,"(4, 1)",0.0
67,"('et al.', 'Avino M')",[],0,"(4, 1)",0.0
68,"('et al.', 'Yuan Y')",[],0,"(4, 1)",0.0
69,"('et al.', 'Ross P')",[12],1,"(4, 1)",0.25
70,"('et al.', 'Zhu Y')",[],0,"(4, 1)",0.0
71,"('et al.', 'Perez-Lopez R')",[6],1,"(4, 1)",0.25
72,"('et al.', 'Breccia M')",[9],1,"(4, 1)",0.25
73,"('et al.', 'Park SJ')",[],0,"(4, 1)",0.0
74,"('et al.', 'Crespo M')",[6],1,"(4, 1)",0.25
75,"('et al.', 'Gross O')",[],0,"(4, 1)",0.0
76,"('et al.', 'Tieghi A')",[9],1,"(4, 1)",0.25
77,"('et al.', 'Pichiecchio A')",[],0,"(4, 1)",0.0
78,"('et al.', 'Bosi C')",[9],1,"(4, 1)",0.25
79,"('et al.', 'Bonifacio M')",[9],1,"(4, 1)",0.25
80,"('et al.', 'Polverelli N')",[9],1,"(4, 1)",0.25
81,"('et al.', 'Savige J')",[],0,"(4, 1)",0.0
82,"('et al.', 'Bianchini D')",[6],1,"(4, 1)",0.25
83,"('et al.', 'Blanc JF')",[12],1,"(4, 1)",0.25
84,"('et al.', 'Chen W')",[],0,"(4, 1)",0.0
85,"('et al.', 'Hunt J')",[6],1,"(4, 1)",0.25
86,"('et al.', 'Carecchio M')",[],0,"(4, 1)",0.0
87,"('et al.', 'Iurlo A')",[9],1,"(4, 1)",0.25
88,"('et al.', 'Storey H.')",[],0,"(4, 1)",0.0
89,"('et al.', 'Ding C')",[8],1,"(4, 1)",0.25
90,"('et al.', ""D'Adda M"")",[9],1,"(4, 1)",0.25
91,"('et al.', 'Zhu J.')",[],0,"(4, 1)",0.0
92,"('et al.', 'Ye X')",[8],1,"(4, 1)",0.25
93,"('et al.', 'Peck-Radosavljevic M')",[12],1,"(4, 1)",0.25
94,"('et al.', 'Mari F')",[],0,"(4, 1)",0.0
95,"('et al.', 'Abruzzese E')",[9],1,"(4, 1)",0.25
96,"('et al.', 'Crugnola M')",[9],1,"(4, 1)",0.25
97,"('et al.', 'Huang C')",[8],1,"(4, 1)",0.25
98,"('et al.', 'de Oliveira FM')",[6],1,"(4, 1)",0.25
99,"('et al.', 'Heidel F')",[9],1,"(4, 1)",0.25
100,"('et al.', 'Shi Y')",[8],1,"(4, 1)",0.25
101,"('et al.', 'Ryoo BY')",[12],1,"(4, 1)",0.25
102,"('et al.', 'Yau T')",[12],1,"(4, 1)",0.25
103,"('et al.', 'Seed G')",[6],1,"(4, 1)",0.25
104,"('et al.', 'Bertan C')",[6],1,"(4, 1)",0.25
105,"('et al.', 'Chiapparini L')",[],0,"(4, 1)",0.0
106,"('et al.', 'Xu J')",[],0,"(4, 1)",0.0
107,"('et al.', 'Miranda S')",[6],1,"(4, 1)",0.25
108,"('et al.', 'Quan L')",[],0,"(4, 1)",0.0
109,"('et al.', 'Ping G')",[],0,"(4, 1)",0.0
110,"('et al.', 'Juravlev ES')",[],0,"(4, 1)",0.0
111,"('et al.', 'Renieri A')",[],0,"(4, 1)",0.0
112,"('et al.', 'Xu YP')",[],0,"(4, 1)",0.0
113,"('et al.', 'Nava Rodrigues D')",[6],1,"(4, 1)",0.25
114,"('et al.', 'Flinter F')",[],0,"(4, 1)",0.0
115,"('et al.', 'Zhang Z.')",[],0,"(4, 1)",0.0
116,"('et al.', 'Gale DP')",[],0,"(4, 1)",0.0
117,"('et al.', 'Hu J')",[8],1,"(4, 1)",0.25
118,"('et al.', 'Balahonova EA')",[],0,"(4, 1)",0.0
119,"('et al.', 'Shagam L')",[],0,"(4, 1)",0.0
120,"('et al.', 'Riisnaes R')",[6],1,"(4, 1)",0.25
121,"('et al.', 'Isidori A')",[9],1,"(4, 1)",0.25
122,"('et al.', 'Perez Duenas B; Cerebral Calcification International Study Group.')",[],0,"(4, 1)",0.0
123,"('et al.', 'Menale B')",[],0,"(4, 1)",0.0
124,"('et al.', 'Stepanov GA')",[],0,"(4, 1)",0.0
125,"('et al.', 'Jiang Y')",[],0,"(4, 1)",0.0
126,"('et al.', 'Kocsis J')",[12],1,"(4, 1)",0.25
127,"('et al.', 'Reale C')",[],0,"(4, 1)",0.0
128,"('et al.', 'Koval OA.')",[],0,"(4, 1)",0.0
129,"('et al.', 'Mazzaferro V')",[12],1,"(4, 1)",0.25
130,"('et al.', 'Di Maio A')",[],0,"(4, 1)",0.0
131,"('et al.', 'Boysen G')",[6],1,"(4, 1)",0.25
132,"('et al.', 'Panteghini C')",[],0,"(4, 1)",0.0
133,"('et al.', 'Lin Y')",[],0,"(4, 1)",0.0
134,"('et al.', 'Christova R')",[6],1,"(4, 1)",0.25
135,"('et al.', 'Merle P')",[12],1,"(4, 1)",0.25
136,"('et al.', 'Aziz S')",[6],1,"(4, 1)",0.25
137,"('et al.', 'Zhu G')",[8],1,"(4, 1)",0.25
138,"('et al.', 'Choo SP')",[12],1,"(4, 1)",0.25
139,"('et al.', 'Yin K')",[],0,"(4, 1)",0.0
140,"('et al.', 'Dao T')",[12],1,"(4, 1)",0.25
141,"('et al.', 'Hoefele J')",[],0,"(4, 1)",0.0
142,"('et al.', 'Nagel M')",[],0,"(4, 1)",0.0
143,"('et al.', 'Figueiredo I')",[6],1,"(4, 1)",0.25
144,"('et al.', 'Sumanasuriya S')",[6],1,"(4, 1)",0.25
145,"('et al.', 'Ma YT')",[12],1,"(4, 1)",0.25
146,"('et al.', 'Campistol J')",[],0,"(4, 1)",0.0
147,"('et al.', 'Tang D')",[],0,"(4, 1)",0.0
148,"('et al.', 'G\xc3\xa9rolami R')",[12],1,"(4, 1)",0.25
149,"('et al.', 'Sheng W')",[],0,"(4, 1)",0.0
150,"('et al.', 'Thongsawat S')",[12],1,"(4, 1)",0.25
151,"('et al.', 'Lim HY')",[12],1,"(4, 1)",0.25
152,"('et al.', 'Bergamaschi M')",[9],1,"(4, 1)",0.25
153,"('et al.', 'Zhou Q')",[8],1,"(4, 1)",0.25
154,"('et al.', 'Garavaglia B')",[],0,"(4, 1)",0.0
155,"('et al.', 'Zhang T')",[],0,"(4, 1)",0.0
156,"('et al.', 'Liang L')",[8],1,"(4, 1)",0.25
157,"('et al.', 'Orcesi S.')",[],0,"(4, 1)",0.0
158,"('et al.', 'Kuligina EV')",[],0,"(4, 1)",0.0
159,"('et al.', 'Nardocci N')",[],0,"(4, 1)",0.0
160,"('et al.', 'Ding Y')",[],0,"(4, 1)",0.0
161,"('et al.', 'Palumbo GA')",[9],1,"(4, 1)",0.25
162,"('et al.', 'Shi LP')",[],0,"(4, 1)",0.0
163,"('et al.', 'Huang Z')",[],0,"(4, 1)",0.0
164,"('et al.', 'Chuai S')",[8],1,"(4, 1)",0.25
165,"('et al.', 'Torra R')",[],0,"(4, 1)",0.0
166,"('et al.', 'Liu S')",[],0,"(4, 1)",0.0
167,"('et al.', 'An T')",[8],1,"(4, 1)",0.25
168,"('et al.', 'Guida M.')",[],0,"(4, 1)",0.0
169,"('et al.', 'Cao Y')",[],0,"(4, 1)",0.0
170,"('et al.', 'Huang W')",[],0,"(4, 1)",0.0
171,"('et al.', 'Zhao Q')",[],0,"(4, 1)",0.0
172,"('et al.', 'Cavazzini F')",[9],1,"(4, 1)",0.25
173,"('et al.', 'Yeo W')",[12],1,"(4, 1)",0.25
174,"('et al.', 'Brunak S')",[],0,"(4, 1)",0.0
175,"('et al.', 'Matey-Hernandez ML; Danish Pan Genome Consortium.')",[],0,"(4, 1)",0.0
176,"('et al.', 'Lamlertthon W')",[12],1,"(4, 1)",0.25
177,"('et al.', 'Guo J')",[],0,"(4, 1)",0.0
178,"('et al.', 'Peng F')",[8],1,"(4, 1)",0.25
179,"('et al.', 'Bartoletti D')",[9],1,"(4, 1)",0.25
180,"('et al.', 'Hu R')",[],0,"(4, 1)",0.0
181,"('et al.', 'Ferreira A')",[6],1,"(4, 1)",0.25
182,"('et al.', 'Gerasimov AV')",[],0,"(4, 1)",0.0
183,"('et al.', 'Garosi G')",[],0,"(4, 1)",0.0
184,"('et al.', 'Song G')",[],0,"(4, 1)",0.0
185,"('et al.', 'Zhang M')",[8],1,"(4, 1)",0.25
186,"('et al.', 'Zhou C')",[8],1,"(4, 1)",0.25
187,"('et al.', 'Peng D')",[],0,"(4, 1)",0.0
188,"('et al.', 'Chen YM.')",[],0,"(4, 1)",0.0
189,"('Song Y', 'Hu Y')",[8],1,"(2, 1)",0.5
190,"('Song Y', 'Zhang L')",[8],1,"(2, 2)",0.25
191,"('Song Y', 'He X')",[],0,"(2, 2)",0.0
192,"('Song Y', 'Semenov DV')",[],0,"(2, 1)",0.0
193,"('Song Y', 'Mei P')",[],0,"(2, 1)",0.0
194,"('Song Y', 'Tunariu N')",[],0,"(2, 1)",0.0
195,"('Song Y', 'Moroni I')",[],0,"(2, 1)",0.0
196,"('Song Y', 'Sukeepaisarnjaroen W')",[],0,"(2, 1)",0.0
197,"('Song Y', 'Binotto G')",[],0,"(2, 1)",0.0
198,"('Song Y', 'Wang C')",[],0,"(2, 1)",0.0
199,"('Song Y', 'Decio A')",[],0,"(2, 1)",0.0
200,"('Song Y', 'Li X')",[],0,"(2, 1)",0.0
201,"('Song Y', 'Dufour JF')",[],0,"(2, 1)",0.0
202,"('Song Y', 'Wu YL')",[8],1,"(2, 1)",0.5
203,"('Song Y', 'Wang H')",[1],1,"(2, 1)",0.5
204,"('Song Y', 'Savelyev EI')",[],0,"(2, 1)",0.0
205,"('Song Y', 'Wu Q')",[],0,"(2, 1)",0.0
206,"('Song Y', 'Wang K')",[8],1,"(2, 1)",0.5
207,"('Song Y', 'Wang L')",[],0,"(2, 1)",0.0
208,"('Song Y', 'Li S')",[1],1,"(2, 1)",0.5
209,"('Song Y', 'Deltas C')",[],0,"(2, 1)",0.0
210,"('Song Y', 'Zhang X.')",[],0,"(2, 1)",0.0
211,"('Song Y', 'Rescigno P')",[],0,"(2, 1)",0.0
212,"('Song Y', 'De Castro O')",[],0,"(2, 1)",0.0
213,"('Song Y', 'Wang Z')",[8],1,"(2, 1)",0.5
214,"('Song Y', 'Izarzugaza JMG.')",[],0,"(2, 1)",0.0
215,"('Song Y', 'Huang G.')",[1],1,"(2, 1)",0.5
216,"('Song Y', 'Moloney D')",[],0,"(2, 1)",0.0
217,"('Song Y', 'Gil V')",[],0,"(2, 1)",0.0
218,"('Song Y', 'Gane EJ')",[],0,"(2, 1)",0.0
219,"('Song Y', 'Ars E')",[],0,"(2, 1)",0.0
220,"('Song Y', 'Tiribelli M')",[],0,"(2, 1)",0.0
221,"('Song Y', 'Sabattini E')",[],0,"(2, 1)",0.0
222,"('Song Y', 'Wang J')",[],0,"(2, 1)",0.0
223,"('Song Y', 'Cheng J.')",[],0,"(2, 1)",0.0
224,"('Song Y', 'Benevolo G')",[],0,"(2, 1)",0.0
225,"('Song Y', 'Kim Y')",[],0,"(2, 1)",0.0
226,"('Song Y', 'Gu R')",[1],1,"(2, 1)",0.5
227,"('Song Y', 'Huang L')",[],0,"(2, 1)",0.0
228,"('Song Y', 'Ariani F')",[],0,"(2, 1)",0.0
229,"('Song Y', 'Bruttini M')",[],0,"(2, 1)",0.0
230,"('Song Y', 'Garcia-Cazorla A')",[],0,"(2, 1)",0.0
231,"('Song Y', 'Wu H')",[],0,"(2, 1)",0.0
232,"('Song Y', 'Li J')",[1],1,"(2, 1)",0.5
233,"('Song Y', 'Sidorov SV')",[],0,"(2, 1)",0.0
234,"('Song Y', 'Li H')",[],0,"(2, 1)",0.0
235,"('Song Y', 'Martino B')",[],0,"(2, 1)",0.0
236,"('Song Y', 'Chen G')",[],0,"(2, 1)",0.0
237,"('Song Y', 'Richter VA')",[],0,"(2, 1)",0.0
238,"('Song Y', 'Zheng J')",[],0,"(2, 1)",0.0
239,"('Song Y', 'Ding J')",[],0,"(2, 1)",0.0
240,"('Song Y', 'Palandri F')",[],0,"(2, 1)",0.0
241,"('Song Y', 'Weiss KH')",[],0,"(2, 1)",0.0
242,"('Song Y', 'Yen CJ')",[],0,"(2, 1)",0.0
243,"('Song Y', 'Ma D')",[1],1,"(2, 1)",0.5
244,"('Song Y', 'Cheng Y')",[8],1,"(2, 1)",0.5
245,"('Song Y', 'Miao C')",[],0,"(2, 1)",0.0
246,"('Song Y', 'Gao H')",[8],1,"(2, 1)",0.5
247,"('Song Y', 'Teufel M')",[],0,"(2, 1)",0.0
248,"('Song Y', 'Dolling DI')",[],0,"(2, 1)",0.0
249,"('Song Y', 'Tonduti D')",[],0,"(2, 1)",0.0
250,"('Song Y', 'Nushtaeva AA')",[],0,"(2, 1)",0.0
251,"('Song Y', 'Yau M')",[],0,"(2, 1)",0.0
252,"('Song Y', 'Catani L')",[],0,"(2, 1)",0.0
253,"('Song Y', 'Zafeiriou Z')",[],0,"(2, 1)",0.0
254,"('Song Y', 'Ma X')",[1],1,"(2, 1)",0.5
255,"('Song Y', 'Avino M')",[],0,"(2, 1)",0.0
256,"('Song Y', 'Yuan Y')",[1],1,"(2, 1)",0.5
257,"('Song Y', 'Ross P')",[],0,"(2, 1)",0.0
258,"('Song Y', 'Zhu Y')",[],0,"(2, 1)",0.0
259,"('Song Y', 'Perez-Lopez R')",[],0,"(2, 1)",0.0
260,"('Song Y', 'Breccia M')",[],0,"(2, 1)",0.0
261,"('Song Y', 'Park SJ')",[],0,"(2, 1)",0.0
262,"('Song Y', 'Crespo M')",[],0,"(2, 1)",0.0
263,"('Song Y', 'Gross O')",[],0,"(2, 1)",0.0
264,"('Song Y', 'Tieghi A')",[],0,"(2, 1)",0.0
265,"('Song Y', 'Pichiecchio A')",[],0,"(2, 1)",0.0
266,"('Song Y', 'Bosi C')",[],0,"(2, 1)",0.0
267,"('Song Y', 'Bonifacio M')",[],0,"(2, 1)",0.0
268,"('Song Y', 'Polverelli N')",[],0,"(2, 1)",0.0
269,"('Song Y', 'Savige J')",[],0,"(2, 1)",0.0
270,"('Song Y', 'Bianchini D')",[],0,"(2, 1)",0.0
271,"('Song Y', 'Blanc JF')",[],0,"(2, 1)",0.0
272,"('Song Y', 'Chen W')",[1],1,"(2, 1)",0.5
273,"('Song Y', 'Hunt J')",[],0,"(2, 1)",0.0
274,"('Song Y', 'Carecchio M')",[],0,"(2, 1)",0.0
275,"('Song Y', 'Iurlo A')",[],0,"(2, 1)",0.0
276,"('Song Y', 'Storey H.')",[],0,"(2, 1)",0.0
277,"('Song Y', 'Ding C')",[8],1,"(2, 1)",0.5
278,"('Song Y', ""D'Adda M"")",[],0,"(2, 1)",0.0
279,"('Song Y', 'Zhu J.')",[],0,"(2, 1)",0.0
280,"('Song Y', 'Ye X')",[8],1,"(2, 1)",0.5
281,"('Song Y', 'Peck-Radosavljevic M')",[],0,"(2, 1)",0.0
282,"('Song Y', 'Mari F')",[],0,"(2, 1)",0.0
283,"('Song Y', 'Abruzzese E')",[],0,"(2, 1)",0.0
284,"('Song Y', 'Crugnola M')",[],0,"(2, 1)",0.0
285,"('Song Y', 'Huang C')",[8],1,"(2, 1)",0.5
286,"('Song Y', 'de Oliveira FM')",[],0,"(2, 1)",0.0
287,"('Song Y', 'Heidel F')",[],0,"(2, 1)",0.0
288,"('Song Y', 'Shi Y')",[8],1,"(2, 1)",0.5
289,"('Song Y', 'Ryoo BY')",[],0,"(2, 1)",0.0
290,"('Song Y', 'Yau T')",[],0,"(2, 1)",0.0
291,"('Song Y', 'Seed G')",[],0,"(2, 1)",0.0
292,"('Song Y', 'Bertan C')",[],0,"(2, 1)",0.0
293,"('Song Y', 'Chiapparini L')",[],0,"(2, 1)",0.0
294,"('Song Y', 'Xu J')",[1],1,"(2, 1)",0.5
295,"('Song Y', 'Miranda S')",[],0,"(2, 1)",0.0
296,"('Song Y', 'Quan L')",[],0,"(2, 1)",0.0
297,"('Song Y', 'Ping G')",[],0,"(2, 1)",0.0
298,"('Song Y', 'Juravlev ES')",[],0,"(2, 1)",0.0
299,"('Song Y', 'Renieri A')",[],0,"(2, 1)",0.0
300,"('Song Y', 'Xu YP')",[],0,"(2, 1)",0.0
