,author_pair,co-paper_id,co-times,authors_paper_num,co-occurrence_val
0,"('et al.', 'Song Y')",[8],1,"(4, 2)",0.125
1,"('et al.', 'Hu Y')",[8],1,"(4, 1)",0.25
2,"('et al.', 'Zhang L')",[8],1,"(4, 2)",0.125
3,"('et al.', 'He X')",[],0,"(4, 2)",0.0
4,"('Song Y', 'Hu Y')",[8],1,"(2, 1)",0.5
5,"('Song Y', 'Zhang L')",[8],1,"(2, 2)",0.25
6,"('Song Y', 'He X')",[],0,"(2, 2)",0.0
7,"('Hu Y', 'Zhang L')",[8],1,"(1, 2)",0.5
8,"('Hu Y', 'He X')",[],0,"(1, 2)",0.0
9,"('Zhang L', 'He X')",[4],1,"(2, 2)",0.25
